,Từ Teencode (Input),Số câu xuất hiện,Loss trung bình của câu,Loss câu max
13,dzai,10,0.3065,1.0924
62,lms,9,0.3063,1.163
352,xg,42,0.3062,4.4119
4,rùi,202,0.306,3.1811
171,dki,4,0.306,0.4427
156,hok,93,0.3059,2.5366
215,cx,499,0.3057,3.7055
106,khs,4,0.3049,0.7587
95,k,669,0.3018,4.8938
304,dzị,7,0.3014,1.7221
98,ph,283,0.3013,2.8199
258,zo,19,0.301,1.3939
31,cgai,27,0.3009,1.3462
237,kqua,9,0.3004,0.7145
291,lh,30,0.2999,0.9944
268,zới,169,0.2992,2.3745
234,zời,20,0.2989,1.7723
297,dzới,91,0.2987,1.8434
131,as,366,0.2982,2.816
263,vd,16,0.2981,2.0959
303,bb,33,0.2975,1.5028
77,cb,35,0.2974,1.1036
219,cs,1659,0.2956,7.2007
76,trg,327,0.2951,3.1811
143,luonn,105,0.294,2.0161
89,bh,42,0.2938,1.9471
187,dthw,14,0.2937,0.8125
10,đc,557,0.2921,3.1849
164,đg,206,0.2917,3.6936
293,côg,100,0.2916,2.4892
273,ntn,29,0.2914,1.3217
8,bjo,7,0.2907,0.9077
337,nx,269,0.2906,1.873
97,đk,95,0.2901,1.7998
154,mn,126,0.2889,3.1849
94,mak,643,0.2888,3.1614
230,cban,16,0.2878,0.8044
124,bdau,26,0.2872,2.7839
310,cũg,138,0.2863,1.9471
179,cnay,32,0.2863,2.092
58,cg,232,0.2859,2.5366
26,qá,216,0.2859,3.1614
21,zô,65,0.2853,2.1186
70,kbiet,9,0.2837,1.0283
176,zữ,32,0.2834,1.5889
243,g,84,0.2833,2.2321
348,kte,5,0.2827,0.6154
344,zui,53,0.2818,2.5366
6,nh,407,0.2813,3.1811
137,hông,69,0.2813,2.5582
236,xl,10,0.2808,0.7764
285,zk,24,0.2792,1.3217
169,bnh,18,0.2783,1.6645
36,mìh,52,0.2779,2.2327
289,trc,183,0.2776,2.1054
345,bth,65,0.2773,1.3953
336,nhưg,112,0.277,3.4302
111,p,181,0.2768,1.7801
28,tíh,89,0.2765,3.0376
205,đh,22,0.2765,0.9478
60,tnhien,8,0.2764,0.7141
233,qcao,5,0.2761,0.7494
373,bt,182,0.2754,2.8903
134,b,857,0.2751,4.8938
367,bg,15,0.2736,1.035
84,đók,320,0.2736,3.5131
351,ts,8,0.2736,0.6398
182,dzui,23,0.2734,1.481
46,chj,100,0.2729,1.9471
73,hsinh,4,0.2725,0.4353
50,ctay,25,0.2717,1.0463
333,mqh,36,0.2676,1.0898
133,kt,6,0.2669,0.6624
166,kảm,246,0.2666,2.2988
170,ch,195,0.2664,2.3709
260,thw,77,0.2657,2.9481
223,ds,174,0.2656,2.6557
152,dc,252,0.2654,3.9384
364,ng,585,0.2653,5.2742
23,mng,71,0.2647,1.2101
211,tsao,5,0.2632,0.5954
216,đky,3,0.2625,0.4299
102,mìnk,176,0.2625,2.3754
277,dzô,32,0.2616,0.9949
298,cgiac,36,0.2611,2.1065
126,nta,21,0.2609,1.2784
116,zì,96,0.2607,1.3171
358,mik,379,0.2602,3.9922
145,ckồnq,44,0.2578,1.9147
342,ms,365,0.2576,2.059
221,ank,125,0.2563,1.1456
63,zề,74,0.2563,1.2174
153,ziệc,250,0.2562,1.9471
210,bn,354,0.2558,3.6918
44,tbao,3,0.255,0.4236
78,ko,816,0.2545,3.1849
238,sn,15,0.2543,1.5512
43,kn,74,0.2537,1.6048
109,xinhh,44,0.2537,1.336
265,ngta,114,0.2525,1.7362
241,lgi,55,0.2508,2.4418
259,gd,15,0.2495,0.8026
165,zẻ,58,0.2488,0.9209
365,cj,197,0.2485,1.9471
194,thsu,22,0.2485,1.0574
67,bsi,4,0.2478,0.527
65,thík,57,0.2473,1.8395
246,tgian,36,0.2471,1.3466
146,nthe,30,0.2463,0.9146
115,xoq,30,0.246,0.8201
290,độk,21,0.2437,0.6936
315,àk,11,0.2428,1.4381
331,hc,158,0.2428,1.4774
368,nt,22,0.2425,1.3354
262,tht,247,0.2392,2.2222
37,nnay,28,0.2384,0.8467
142,nhg,253,0.2383,2.0202
361,ncl,6,0.2347,0.6054
270,ck,164,0.2342,1.9147
254,gke,24,0.2336,0.9175
130,mk,698,0.2318,3.907
163,qtrong,18,0.2313,1.4315
11,snghi,38,0.23,1.4404
104,kphai,13,0.2286,1.1704
12,nvay,58,0.228,1.2494
350,bnhiu,5,0.2274,0.4452
363,cíu,22,0.2271,1.4717
96,kco,70,0.2263,1.0635
247,qtr,6,0.2234,0.507
118,lq,7,0.2226,0.7056
324,vkck,3,0.2226,0.5659
307,gđ,45,0.2223,0.7587
275,chúg,16,0.2218,1.163
308,ziệt,41,0.2207,1.873
355,bik,72,0.2202,1.3939
15,qt,35,0.2193,0.8595
93,mih,94,0.2182,2.59
74,ctrai,3,0.2173,0.3515
92,khùg,15,0.2173,0.8831
207,zà,23,0.2077,0.8259
286,trl,12,0.2069,1.4303
294,dzề,29,0.2053,1.0856
27,chx,97,0.2041,1.3217
339,đag,77,0.2031,1.5471
292,tgia,17,0.2025,0.6668
250,ngkhac,21,0.2002,0.7059
64,ntin,13,0.2001,0.9109
325,bnhieu,14,0.1998,0.9934
178,dg,32,0.1974,0.9737
318,qtam,40,0.197,1.1918
173,đt,11,0.1968,1.1121
90,cta,11,0.1959,0.6112
52,tnhan,32,0.1934,1.1048
284,kbt,25,0.1882,0.8068
34,ngkh,13,0.1881,1.1913
107,svien,4,0.187,0.3671
138,nhx,173,0.1855,2.1194
200,cv,92,0.1834,1.2261
119,ttin,48,0.1776,1.1189
231,bthg,18,0.1717,0.9746
278,bthan,97,0.1714,1.1992
49,quák,7,0.171,0.5289
25,embe,9,0.1703,0.7982
144,sk,7,0.168,0.2338
155,kp,33,0.1667,0.8141
279,cviec,20,0.1639,0.9265
359,tl,18,0.1587,0.722
209,qlai,25,0.1474,0.8176
312,bme,30,0.1468,0.5493
81,tnay,14,0.1464,0.3334
206,bbe,14,0.1452,0.4028
282,dv,14,0.144,0.5592
332,bame,17,0.1438,0.7271
299,kph,9,0.1404,0.6121
353,dvien,4,0.1389,0.295
251,vđề,9,0.1363,0.4116
33,tnh,15,0.1353,0.8824
59,gđinh,14,0.1335,0.5337
356,vde,34,0.1271,0.5339
22,lạnk,8,0.1247,0.4597
245,nchung,4,0.1243,0.3224
158,kg,9,0.1236,0.2531
162,mìk,27,0.1196,0.8999
302,csong,22,0.1107,0.5887
256,ctoi,7,0.1008,0.2459
212,mxh,5,0.0797,0.2001
329,bgio,3,0.076,0.1013
39,bâyg,3,0.0756,0.1047
271,đr,4,0.0709,0.0904
228,chta,6,0.0632,0.1661
225,dzậy,4,0.0581,0.0799
316,kbg,4,0.0441,0.0706
214,qó,4,0.0407,0.0473
